,beer_id,beer_eng_name
0,1,Kronenbourg 1664 Blanc
1,2,Kabrew Gyeongbokgung Royal Pride IPA
2,3,ARK Seoulite Ale
3,4,Kabrew Kumiho India Pale Ale
4,5,Kabrew Kumiho Peach Ale
5,6,Goose Island Goose IPA
6,7,Goose Island Duck Duck Goose
7,8,Goose Island Matilda
8,9,Goose Island Bourbon County Stout
9,10,Goose Island Sofie
10,11,Goose Island Summertime
11,12,Goose Island Pepe Nero
12,13,Goose Island Honkers Ale
13,14,Goose Island 312 Urban Wheat Ale
14,15,Guinness Draught
15,16,Guinness Extra Stout (North America)
16,17,Guinness Foreign Extra Stout
17,18,Guinness Black Lager
18,19,Kirin Lager
19,20,Kirin Ichiban
20,21,Kabrew Namsan Mountain Premium Citra Ale
21,22,Budweiser
22,23,Budweiser Select
23,24,Budweiser Budvar
24,25,Budweiser Budvar Dark
25,26,Cyprus Venus
26,27,Desperados
27,28,Desperados Red
28,29,Hite D (Dry Finish)
29,30,Lagunitas India Pale Ale (IPA)
30,31,Lagunitas DayTime
31,32,Lagunitas Maximus IPA
32,33,Tsingtao Laoshan 4.0% 10°P
33,34,Tsingtao Laoshan 4.7% 11°P
34,35,Leffe Brune
35,36,Mango Lingo
36,37,Hite Prime Max
37,38,Magners Juicy Apple
38,39,Miller Genuine Draft (MGD)
39,40,Miller Lite
40,41,Miller Chill Chelada Style
41,42,Miller High Life
42,43,San Miguel Pale Pilsen
43,44,Sapporo Draft Beer
44,45,Sapporo Reserve
45,46,Sapporo premium lager
46,47,Suntory The Premium Malt's
47,48,Suntory The Premium Malt's Kaoru Ale
48,49,Spaten Münchner München
49,50,Spaten Oktoberfest Ur-Märzen
50,51,Spaten Optimator
51,52,Stella Artois
52,53,Singha Draft
53,54,Somersby Apple Cider
54,55,Warsteiner Premium Verum
55,56,Warsteiner Premium Dunkel
56,57,Beck's
57,58,Beck's Dark
58,59,BrewDog Punk AF
59,60,BrewDog Punk IPA (5.6%)
60,61,Blue Moon Belgian White
61,62,Asahi Super Dry
62,63,Asahi Super Dry Black
63,64,Asahi Clear Prime Rich
64,65,Apple Fox
65,66,Edelweiss Weissbier Snowfresh
66,67,Erdinger Weissbier
67,68,Sapporo Yebisu
68,69,Isul Tok Tok
69,70,Hite Black Beer Stout
70,71,Egger Naturtrüber Zitronenradler
71,72,Egger Grapefruit Radler
72,73,Jeju Baengnokdam Ale
73,74,Jeju Seongsan Ilchulbong Ale
74,75,Jeju Wit Ale
75,76,Jeju Pellong Ale
76,77,Cass Light
77,78,Cass Fresh
78,79,Carlsberg Pilsner
79,80,Corona Extra
80,81,Corona Light
81,82,Kozel Černý (Dark) 10°
82,83,Kozel Premium Lager 12°
83,84,Queen's Ale Blonde Type
84,85,Queen's Ale Extra Bitter Type
85,86,Kloud Original Gravity
86,87,Tiger Beer
87,88,Tiger Radler Lemon
88,89,Terra
89,90,Tsingtao
90,91,Tsingtao Wheat Beer
91,92,Tsingtao Draft Beer 11º (Pure Draft Beer)
92,93,Paulaner Original Münchner Hell (Premium Lager)
93,94,Paulaner Oktoberfest Bier (Wiesn Bier)
94,95,Paulaner Salvator
95,96,Paulaner Hefe-Weissbier
96,97,Patagonia
97,98,Patagonia Amber Lager
98,99,Patagonia Weisse
99,100,Patagonia Bohemian Pilsener
100,101,Peroni
101,102,Happoshu Filgood
102,103,FiLite
103,104,Filite Fresh Cool & Clear
104,105,Filite Weizen
105,106,Pilsner Urquell
106,107,Fitz Super Clear
107,108,Harbin Beer
108,109,Heineken
109,110,Heineken 0.0
110,111,Heineken Dark Lager
111,112,Hite Beer
112,113,Hite Extra Cold
113,114,Hite Zero
114,115,Hoegaarden
115,116,Hoegaarden Rosée
116,117,Hop House 13 Lager
117,118,Kabrew Hoptandu IPA
