beer_kor_name,beer_eng_name,review_score
1664블랑,Kronenbourg 1664 Blanc,2.8004028197381663
경복궁,Kabrew Gyeongbokgung Royal Pride IPA,3.2857142857142856
광화문,ARK Seoulite Ale,3.0100000000000002
구미호 IPA,Kabrew Kumiho India Pale Ale,2.8499999999999996
구미호 피치 에일,Kabrew Kumiho Peach Ale,2.82
구스 아일랜드 312,Goose Island 312 Urban Wheat Ale,2.8318617021276653
구스 아일랜드 IPA,Goose Island Goose IPA,3.5247497411114943
구스 아일랜드 덕덕구스 ,Goose Island Duck Duck Goose,3.225
구스 아일랜드 마틸다,Goose Island Matilda,3.634734734734732
구스 아일랜드 버본 컨트리 스타우트,Goose Island Bourbon County Stout,4.273194221508833
구스 아일랜드 소피,Goose Island Sofie,3.729745989304814
구스 아일랜드 썸머 타임,Goose Island Summertime,3.0628232758620664
구스 아일랜드 페페 네로,Goose Island Pepe Nero,3.5314999999999985
구스 아일랜드 혼커스 에일,Goose Island Honkers Ale,3.233333333333333
기네스 드라우트,Guinness Draught,3.4622539627242506
기네스 엑스트라 스타우트(북미),Guinness Extra Stout (North America),3.35995785036881
기네스 엑스트라 스타우트(세계),Guinness Foreign Extra Stout,3.6578655578655557
기네스 흑맥주,Guinness Black Lager,2.7419770773638965
기린 라거,Kirin Lager,2.0749999999999997
기린 이치방,Kirin Ichiban,2.2317629179331324
데스페라도스,Desperados,1.8206896551724132
데스페라도스 레드,Desperados Red,1.8217877094972068
드라이 D,Hite D (Dry Finish),2.09322033898305
라구니타스 IPA,Lagunitas India Pale Ale (IPA),3.5693192713326964
라구니타스 데이타임,Lagunitas DayTime,3.510267857142856
라구니타스 막시무스,Lagunitas Maximus IPA,3.757428914697639
라오산 4.0,Tsingtao Laoshan 4.0% 10°P,1.8045454545454547
라오산 4.7,Tsingtao Laoshan 4.7% 11°P,1.8583333333333334
레페 브라운,Leffe Brune,3.480637353771684
망고 링고,Mango Lingo,2.4
매그너스 쥬시 애플,Magners Juicy Apple,2.6500000000000004
맥스,Hite Prime Max,1.9500000000000002
밀러 드래프트,Miller Genuine Draft (MGD),1.6898496240601506
밀러 라이트,Miller Lite,1.5079223928860184
밀러 칠 체라다 스타일,Miller Chill Chelada Style,1.4699140401146142
밀러 하이 라이프,Miller High Life,1.8527065527065512
바르슈타이너,Warsteiner Premium Verum,2.72115930279692
바르슈타이너 던켈,Warsteiner Premium Dunkel,3.0718072289156697
버드와이저,Budweiser,1.5465821638750576
버드와이저 셀렉트,Budweiser Select,1.4834459459459444
벡스,Beck's,2.354793961648304
벡스 흑맥주,Beck's Dark,2.577777777777777
부드바이저 부드바,Budweiser Budvar,3.1550949244478903
부드바이저 부드바 흑맥주,Budweiser Budvar Dark,3.213574660633485
브루독 펑크 AF,BrewDog Punk AF,2.919459459459458
브루독 펑크 IPA,BrewDog Punk IPA (5.6%),3.7364394488759967
블루문,Blue Moon Belgian White,3.0154432523997734
산미구엘페일필젠,San Miguel Pale Pilsen,2.062146226415098
산토리,Suntory The Premium Malt's,2.6569892473118273
산토리카오루에일,Suntory The Premium Malt's Kaoru Ale,3.2809523809523804
삿포로,Sapporo Draft Beer,2.5684210526315794
삿포로 리저브,Sapporo Reserve,2.5136490250696384
삿포로 프리미엄,Sapporo premium lager,2.2502808988764067
슈파텐 뮌헨,Spaten Münchner München,2.8832219251336944
슈파텐 옥토버페스트,Spaten Oktoberfest Ur-Märzen,3.331764705882353
슈파텐 옵티메이터,Spaten Optimator,3.652795031055897
스타우트,Hite Black Beer Stout,2.407978723404257
스텔라 아르투아,Stella Artois,2.541781577495868
싱하,Singha Draft,2.4075471698113216
써머스비 애플,Somersby Apple Cider,2.271028037383178
아사히 드라이 블랙,Asahi Super Dry Black,2.715966386554621
아사히 슈퍼 드라이,Asahi Super Dry,2.2011863568957004
아사히 프라임 리치,Asahi Clear Prime Rich,2.3962962962962964
애플 폭스,Apple Fox,2.5
에델바이스 스노우프레쉬,Edelweiss Weissbier Snowfresh,3.2461756373937694
에딩거 바이스비어,Erdinger Weissbier,3.160859896219416
예거 라들러 레몬,Egger Naturtrüber Zitronenradler,2.08125
예거 라들러 자몽,Egger Grapefruit Radler,2.410416666666667
예비스,Sapporo Yebisu,2.500569800569801
이슬 톡톡,Isul Tok Tok,2.125
제주 백록담,Jeju Baengnokdam Ale,2.8999999999999995
제주 성산일출봉,Jeju Seongsan Ilchulbong Ale,2.9
제주 위트 에일,Jeju Wit Ale,2.7526315789473683
제주 펠롱 에일,Jeju Pellong Ale,2.9799999999999995
칭따오,Tsingtao,2.059072847682118
칭따오 위트,Tsingtao Wheat Beer,2.790909090909091
칭따오 퓨어 드래프트,Tsingtao Draft Beer 11º (Pure Draft Beer),1.9214953271028032
카스 라이트,Cass Light,1.7454545454545456
카스 프레쉬,Cass Fresh,1.7810810810810815
칼스버그,Carlsberg Pilsner,2.2628313592780636
코로나,Corona Extra,1.7939705882352988
코로나 라이트,Corona Light,1.3998065764023213
코젤 다크,Kozel Černý (Dark) 10°,2.9996306555863343
코젤 라거,Kozel Premium Lager 12°,2.8923717059639387
퀸즈 에일 블론드,Queen's Ale Blonde Type,3.0375
퀸즈 에일 엑스트라 비터,Queen's Ale Extra Bitter Type,2.8833333333333333
클라우드,Kloud Original Gravity,2.371296296296297
타이거,Tiger Beer,2.1643502824858776
타이거 라들러 레몬,Tiger Radler Lemon,2.0454545454545463
테라,Terra,1.788888888888889
파울라너 살베이터,Paulaner Salvator,3.59073296738779
파울라너 오리지널 뮌헨,Paulaner Original Münchner Hell (Premium Lager),3.0410202655485694
파울라너 옥토버페스트 맥주,Paulaner Oktoberfest Bier (Wiesn Bier),3.131503920171059
파울라너 헤페 바이스비어,Paulaner Hefe-Weissbier,3.603168712532113
파타고니아,Patagonia,1.7757142857142854
파타고니아 바이스,Patagonia Weisse,2.8254545454545457
파타고니아 보헤미안 필스너,Patagonia Bohemian Pilsener,2.923076923076924
파타고니아 앰버 라거,Patagonia Amber Lager,2.917171717171719
페로니,Peroni,2.1697167755991282
필굿,Happoshu Filgood,1.1666666666666667
필라이트,FiLite,2.388888888888889
필라이트 바이젠,Filite Weizen,1.6000000000000003
필라이트 후레쉬,Filite Fresh Cool & Clear,1.3666666666666665
필스너 우르켈,Pilsner Urquell,3.2940632940632946
핏츠,Fitz Super Clear,1.8629629629629634
하얼빈,Harbin Beer,1.9832835820895516
하이네켄,Heineken,2.167871581450652
하이네켄 논알코올,Heineken 0.0,2.065286624203821
하이네켄 다크라거,Heineken Dark Lager,2.6726169844020786
하이트,Hite Beer,1.8861499364675958
하이트 엑스트라 콜드,Hite Extra Cold,2.158333333333333
하이트 제로,Hite Zero,1.9416666666666667
호가든,Hoegaarden,3.521142981312476
호가든 로제,Hoegaarden Rosée,2.5416382252559715
홉 하우스 13,Hop House 13 Lager,2.9330019880715685
홉탄두 IPA,Kabrew Hoptandu IPA,3.45
